Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.8711119634057695,65.12258492228864,2489,1.2668288482283663,1.4405983334026593e-05,-1.4396348523992245e-05,65.382722734462,2489
2,0.8711591519712772,65.09096207791988,2488,1.2648921849092554,1e-16,1e-16,1e-16,2488
3,0.8706320456544351,65.37748014441934,2499,1.269085846508373,1e-16,1e-16,1e-16,2499
4,0.8705788330167349,65.38349382368429,2497,1.2672108538555857,1.4008066953347369e-05,-1.4059269439032687e-05,65.62800886858,2498
5,0.8704101589953454,65.48137877302536,2505,1.2672366827053145,1e-16,1e-16,1e-16,2505
6,0.8702465050341164,65.54887677515097,2506,1.2678146606351473,1e-16,1e-16,1e-16,2506
7,0.870506544150425,65.43564188167873,2501,1.266059642526253,1e-16,1e-16,1e-16,2502
8,0.8716260175661945,64.86953000252694,2480,1.2650734280255223,1.4260896236055402e-05,-1.4339198481914682e-05,65.124102446021,2480
9,0.8718107557800973,64.75643663375628,2476,1.2633203538478661,1e-16,1e-16,1e-16,2476
10,0.8704874679218155,65.42980242368098,2500,1.2693175491096287,1e-16,1e-16,1e-16,2500
12,0.8710527266958767,65.14080018135071,2489,1.2686765138579073,1.4510589863637672e-05,-1.4571240733581164e-05,65.391472767673,2490
16,0.8708961008188723,65.21812044881996,2493,1.266547306405292,1.4527213833213296e-05,-1.4591152803592245e-05,65.444507248287,2493
20,0.8712344528736833,65.06002934693952,2486,1.2684626410407298,1.4332221759163434e-05,-1.4342107203001663e-05,65.262939232707,2487
23,0.8699834538817113,65.64194447413428,2508,1.2677023467028163,1.4015682563246538e-05,-1.395019550454183e-05,65.903999832376,2508
