Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.8446572503724885,72.49079945947096,2640,1.2171733964475742,9.459185953788255e-06,-9.420519384027036e-06,72.658120618222,2640
2,0.8449534339219521,72.38992401878022,2636,1.2154381260881406,1e-16,1e-16,1e-16,2636
3,0.843687374749499,72.97023565308255,2656,1.2193904395845296,1e-16,1e-16,1e-16,2656
4,0.8443791390396023,72.65299854511605,2646,1.2168687836666228,9.192289692564655e-06,-9.259685356977395e-06,72.819137007781,2646
5,0.8440186987200855,72.85508829242957,2653,1.2173781266130048,1e-16,1e-16,1e-16,2653
6,0.8441562483684805,72.74284571495356,2650,1.2170280169358656,1e-16,1e-16,1e-16,2650
7,0.8448680928992253,72.44016638127438,2641,1.2173086889199025,1e-16,1e-16,1e-16,2641
8,0.8454303396371902,72.12031034445593,2626,1.2153887630782152,9.398222499615624e-06,-9.40312419477363e-06,72.251492277851,2626
9,0.8455447970088473,72.07132022739789,2625,1.213807870438712,1e-16,1e-16,1e-16,2625
10,0.8441271320195501,72.76498119315217,2650,1.218344152377049,1e-16,1e-16,1e-16,2650
12,0.8443118702334529,72.64830250441848,2645,1.2201640234184559,9.497644580120998e-06,-9.452072703185152e-06,72.819113947642,2646
16,0.8445207047361255,72.60566773747937,2645,1.2181459376217807,9.496124892010527e-06,-9.518862390665928e-06,72.697383369095,2645
20,0.8446130738430769,72.54225459915511,2640,1.2194240094417579,9.320362058290858e-06,-9.270008076465374e-06,72.643746088722,2641
23,0.8444935964112594,72.59566447918804,2644,1.216178573896766,9.203446042281552e-06,-9.165936181192133e-06,72.771186775723,2644
