Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.8053752796173509,90.87654630334643,3309,1.1925161354692042,1e-16,1e-16,1e-16,3309
2,0.8053541953646772,90.87810075139042,3308,1.1914169437845865,1e-16,1e-16,1e-16,3309
3,0.8043290990799233,91.41714430216945,3328,1.1940174586303065,1e-16,1e-16,1e-16,3329
4,0.8044847209448958,91.30063983470298,3325,1.1927536413742277,1e-16,1e-16,1e-16,3325
5,0.8046523909542532,91.23726616462484,3323,1.1929069143813473,1e-16,1e-16,1e-16,3323
6,0.8045037971735053,91.26917486331863,3323,1.192996712504198,1e-16,1e-16,1e-16,3324
7,0.807767840289798,89.77650752145932,3271,1.189937695584194,1e-16,1e-16,1e-16,3271
8,0.806315034879378,90.40199391506053,3292,1.1909356487040195,1e-16,1e-16,1e-16,3293
9,0.805250782125373,90.91207979024935,3309,1.19172897320412,1e-16,1e-16,1e-16,3310
10,0.8043180549475705,91.33372184234068,3326,1.1941699406455413,1e-16,1e-16,1e-16,3327
