Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9693706049373295,16.56528329414259,613,1.0448614888605399,0.0001564158264531856,-0.00016001958086770085,17.293224425733,613
2,0.9692702037341215,16.60929828785848,615,1.044242908137533,0.00014800858073495845,-0.00015090406602526316,17.336019155542,615
3,0.9692521315175441,16.639573602016092,614,1.0448247312476269,0.00014794955871833796,-0.00015341155115091413,17.36492554627,614
4,0.9692973120589877,16.60043167518687,614,1.044409256551846,0.0001430188113925762,-0.00014849930109706372,17.320873587204,614
5,0.9693555447568484,16.55865843798145,613,1.045033692000017,0.000156380152185374,-0.00015843527162149587,17.266350175939,613
6,0.9692099630121968,16.618551649473925,616,1.0447559034948712,0.00014724408623113575,-0.00014547963051789474,17.371391773455,616
7,0.9695673912956173,16.45496672720828,608,1.0446083256948095,0.000150189843099723,-0.0001504310227001662,17.161542281421,608
8,0.9693545407448163,16.573035219321085,612,1.0450102834583281,0.00014974301171789475,-0.0001514688114563989,17.268995808272,612
10,0.9691537383384002,16.671094389929355,617,1.044817677893647,0.00014572647699556787,-0.00014648713361839336,17.415308615775,617
11,0.969313376251501,16.572739788393687,613,1.0451309814245275,0.00015390359333185597,-0.0001550398174571745,17.306764350462,613
13,0.9695412869827832,16.418666995346673,609,1.0443572939066874,0.00016401701425806093,-0.00016644617219656508,17.209166098164,609
14,0.9693153842755652,16.568188077319586,613,1.044836455468871,0.00015914444366315792,-0.00015906318010770084,17.289540834064,613
15,0.969589479560323,16.446116462819486,609,1.0439964597785547,0.00015686573663867037,-0.00015908062365473685,17.162571153823,609
16,0.969589479560323,16.424677869689738,608,1.0442808514845663,0.0001495895466835457,-0.00014946234587623268,17.178340923281,608
17,0.9692561475656725,16.615725802789125,615,1.044844008056721,0.0001554267778762327,-0.00015380063187390582,17.349119405466,615
19,0.9694599620081847,16.479751025902573,610,1.0444163145318763,0.00015190371828886429,-0.00015429110047135737,17.227540995375,610
20,0.9692842599025707,16.57519407258078,614,1.0444517227274466,0.00015112832557218837,-0.00015357709416919668,17.328037232715,614
22,0.9692169910964213,16.627276737443957,614,1.0450776786684195,0.00014845600648742381,-0.00015624837963124655,17.336410076374,614
23,0.9692973120589877,16.621023443780526,613,1.0455061830433259,0.00015415147962393353,-0.0001560146188301385,17.306713987818,613
