Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9720643692194008,17.875440026244387,700,1.0479277485000011,0.0001319893298268144,-0.0001351422524565097,18.742578772224,700
2,0.9720372608945346,17.882127470614908,699,1.048566717088358,1e-16,1e-16,1e-16,699
3,0.9719458957996152,17.95543503909452,701,1.047140217127599,1e-16,1e-16,1e-16,701
4,0.971942883763519,17.868811203324675,702,1.0475211506129387,0.0001236985272963989,-0.00012703590455501385,18.804046948279,702
5,0.9720623611953365,17.861072821507108,700,1.0482617861665788,1e-16,1e-16,1e-16,700
6,0.9720201926899892,17.89777961735394,700,1.0488979570335877,1e-16,1e-16,1e-16,700
8,0.9720764173637857,17.838335743014678,698,1.0469097810798476,0.00012473242185739614,-0.00012537732936764544,18.695771135309,698
11,0.9721898707234108,17.789289809427725,697,1.048142106864992,0.00013460807738238228,-0.00013544879068753463,18.653987779679,697
15,0.9721527222782238,17.76490976979677,695,1.0477946240446936,0.0001344396951565651,-0.00013652053485518006,18.589970562794,695
19,0.9720794293998819,17.87802625853071,698,1.0483672304038165,0.000131128746292964,-0.0001335114613306371,18.701508828891,698
23,0.9719418797514869,17.929586259592252,701,1.048436407281231,0.00013223029239313022,-0.00013248012339379502,18.784728041413,701
