Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9579841044815081,22.187640899252003,873,1.069889360842596,9.642698542344488e-05,-9.708363019731857e-05,24.395330516432,873
2,0.9581869149119883,22.084005005007747,869,1.0693490879257337,1e-16,1e-16,1e-16,869
3,0.9579499680724174,22.199017612639626,873,1.0697701401693531,1e-16,1e-16,1e-16,873
4,0.9581166340697427,22.11512830553814,870,1.0695338133921846,8.845095909995458e-05,-9.03672370667158e-05,24.318768510247,870
5,0.9579800884333798,22.199803010803024,874,1.0699970945536257,1e-16,1e-16,1e-16,874
6,0.9581065939494219,22.131082654885038,871,1.0697775486603267,1e-16,1e-16,1e-16,871
8,0.9580804896365878,22.136771011578848,871,1.0697832433189316,9.239203285711246e-05,-9.173937642436233e-05,24.338317806022,871
11,0.9581407303585127,22.107543829946394,870,1.0700153635066605,9.51661434109928e-05,-9.47815386294615e-05,24.291960650184,870
15,0.9583234605483512,22.019862285049037,867,1.0693438485636646,9.737511665299946e-05,-9.903081931992022e-05,24.177690731485,867
19,0.9580684414922028,22.14056324937472,871,1.0696363283918633,9.154804552221939e-05,-9.461322560845984e-05,24.342295391968,871
23,0.9579158316633266,22.218764199782395,874,1.0703516560172581,9.334735769602106e-05,-9.390948134128975e-05,24.435706311247,874
