Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9563606170256345,22.390525621331268,873,1.0565508621160864,9.075442659928311e-05,-9.136755056145706e-05,24.633015530638,873
2,0.9566407363825848,22.266032419209704,869,1.0558970998520743,8.461320359171523e-05,-8.559453153621495e-05,24.494139328368,869
3,0.9562792920510359,22.41138292920857,873,1.0565881389036982,1e-16,1e-16,1e-16,873
4,0.956480094457452,22.32180526541328,870,1.0562088615385006,8.299065485015734e-05,-8.485285613477785e-05,24.556785638045,870
5,0.9563686491218911,22.40079161398435,874,1.0566893872134833,8.588082750947812e-05,-8.750773405501053e-05,24.611816906842,874
6,0.956542343203441,22.316902306882863,871,1.0565131158183312,1e-16,1e-16,1e-16,871
7,0.9567270814173437,22.2067926577814,866,1.055897571182782,8.675393509852631e-05,-8.710546371527314e-05,24.42748024425,866
8,0.9564218617595913,22.349136328147793,871,1.0565528936011876,8.682777945714682e-05,-8.621688872035901e-05,24.584052538401,871
10,0.9562903361833888,22.409486810310636,873,1.0564570875238533,8.468266222980387e-05,-8.48009143535158e-05,24.632216939089,873
11,0.9565212589507672,22.310428552025652,870,1.0566916999315736,8.959571212513796e-05,-8.924244524656622e-05,24.550222879497,870
13,0.9566096120095903,22.224968448597377,865,1.0560519449976862,9.15715084586205e-05,-9.339671366688423e-05,24.440150851281,865
14,0.9565433472154731,22.280415972229807,868,1.0562337083510829,8.868491622265817e-05,-8.979473577092744e-05,24.501264547743,868
15,0.9566407363825848,22.24170819610767,867,1.0562975095384632,9.183054170918006e-05,-9.346608371987701e-05,24.428080900335,867
16,0.9566045919494299,22.239026679046336,866,1.0560031285152043,8.536629474168533e-05,-8.531541979003546e-05,24.470405041228,866
17,0.9564730663732274,22.348025607413255,872,1.0565699183422492,8.633968823880777e-05,-8.697378895765208e-05,24.60473125939,872
19,0.9563877253505007,22.358616922637477,871,1.0564285096251322,8.607194157836898e-05,-8.90097073652809e-05,24.59464537825,871
20,0.9565192509267031,22.286104328923617,868,1.0563932692898361,8.404638746906816e-05,-8.466860191178061e-05,24.508809935399,868
22,0.9563033883398059,22.405694572514765,873,1.0565364113692,8.558258609826815e-05,-8.89173496356831e-05,24.639668533088,873
23,0.9563395327729608,22.408376089576098,874,1.0569131733216166,8.788633030755569e-05,-8.844237746834904e-05,24.703272051056,874
