Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9138658077678403,45.490627089517616,1790,1.0879228228078304,2.1876083349372853e-05,-2.1855875776875346e-05,49.980878510992,1790
2,0.9138035590218513,45.53012026380314,1792,1.0879022674750283,1e-16,1e-16,1e-16,1792
3,0.9136308689523335,45.61400957090463,1795,1.0879034233493217,1e-16,1e-16,1e-16,1795
4,0.9138055670459154,45.519854271150066,1791,1.0873388352566118,2.1495982358593905e-05,-2.152367793320443e-05,50.032781657454,1791
5,0.9135786603266653,45.66756097563912,1798,1.088341583565542,1e-16,1e-16,1e-16,1798
8,0.913799542973723,45.523091148578665,1791,1.0873192156185991,2.1719656091592245e-05,-2.1869650582771192e-05,50.03472916214,1791
11,0.9143146011461801,45.24709900417217,1780,1.0873195995038192,2.2061332444318006e-05,-2.222537335056399e-05,49.748613199573,1780
15,0.9146479331408307,45.091482501520225,1775,1.0872022882495265,2.1502643307516898e-05,-2.180185269311136e-05,49.519300680078,1775
19,0.9141830755699776,45.30610872780434,1782,1.0872075560976069,2.1211610130104155e-05,-2.13927923740964e-05,49.835376231004,1782
23,0.9132292641395015,45.823177478291065,1803,1.0888812915785935,2.1723549983213297e-05,-2.170936767305485e-05,50.343374928991,1803
