Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.8438429966144714,81.13993652773458,3125,1.2555377859009027,6.628769317331081e-06,-6.476122071348699e-06,88.041580872241,3125
2,0.8438279364339902,81.15464540332582,3125,1.2543417696002008,6.573602959295513e-06,-6.459711009205208e-06,88.037789894369,3125
3,0.8427968160770438,81.68088974077247,3146,1.2582976784610105,1e-16,1e-16,1e-16,3146
4,0.843412275452709,81.35080040786657,3132,1.2567907118389865,6.446293315356233e-06,-6.346569128840221e-06,88.277728431537,3132
5,0.8436351661238308,81.26395330598106,3130,1.256286516109981,1e-16,1e-16,1e-16,3130
7,0.8454574479620564,80.32337511431211,3094,1.252115519109543,6.775480556259058e-06,-6.613353540898947e-06,87.074666367609,3094
10,0.8433911912000354,81.36754015537686,3133,1.2575354260647276,6.450624448568643e-06,-6.36138626207457e-06,88.275297920554,3133
13,0.842522720792286,81.83936875343343,3152,1.256659602282112,6.423045329533408e-06,-6.287391350672576e-06,88.789204203042,3152
16,0.8431080598069888,81.5231797779921,3140,1.2573071726028218,6.616493779790692e-06,-6.554590278365318e-06,88.408204900662,3140
19,0.8430247268083261,81.55197000399558,3140,1.2577485636032564,6.443730841886759e-06,-6.357307478525096e-06,88.483855199623,3140
22,0.8429654900984334,81.57347795701517,3140,1.2556133679448207,6.375137551243767e-06,-6.301145775691192e-06,88.449698381405,3141
