Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.965758169645905,27.955413761104662,1535,1.0723842081275345,5.920607464785374e-05,-6.00149170277928e-05,30.430755730964,1209
2,0.965657768442697,28.011130790779315,1550,1.0725859324354468,1e-16,1e-16,1e-16,1212
3,0.9655392950229116,28.091750523886564,1566,1.0728104247366945,1e-16,1e-16,1e-16,1213
4,0.9655162027461737,28.09651872939586,1552,1.0725333925054055,5.751211901472687e-05,-5.825946274205651e-05,30.603477975565,1215
5,0.9655965237087402,28.070235799186506,1528,1.0733308997507434,1e-16,1e-16,1e-16,1215
7,0.9657290532969747,27.925131675266584,1542,1.0717332902397962,5.9511268664797786e-05,-5.933247649508809e-05,30.397519587792,1208
11,0.9656236320336062,27.980967109679536,1557,1.072814278669808,6.020867029480222e-05,-5.999419879840222e-05,30.420796308393,1208
14,0.9656477283223762,28.02421305351485,1535,1.0721497443112593,5.879025284273463e-05,-5.820318674057064e-05,30.499629050912,1211
18,0.9655764434680986,28.03528079261414,1526,1.072832394723356,5.983386550409086e-05,-5.983976557694183e-05,30.472978621085,1211
22,0.9655553592154248,28.08843470996576,1553,1.072923725531396,5.772161887141386e-05,-5.850188526869252e-05,30.541053467961,1213
23,0.9656738326352103,28.00797284984291,1557,1.0728553139287853,5.745130108214404e-05,-5.746202315500388e-05,30.501505396309,1211
24,0.965694916887884,27.97700065061645,1543,1.0725105626916975,5.91236593781651e-05,-5.950594428278338e-05,30.405466100598,1208
25,0.9655593752635532,28.064222119921553,1537,1.0728005830525948,5.773048148822715e-05,-5.5581197427614406e-05,30.566088659288,1214
