Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9688886791619311,32.102537171423855,1547,1.1267226522465779,5.238547754009972e-05,-5.244185422982383e-05,36.655081082477,1547
2,0.9688043421512363,32.14099856146705,1550,1.1264046064983642,1e-16,1e-16,1e-16,1550
3,0.9687591616097927,32.18568054860805,1553,1.1266261260450976,1e-16,1e-16,1e-16,1553
4,0.9689047433544443,32.05069131603727,1548,1.1254176489324172,5.2495392192131864e-05,-5.241972206645762e-05,36.693024628633,1548
5,0.9689941004252995,31.9492768632621,1545,1.1256894986105728,1e-16,1e-16,1e-16,1545
7,0.9690724133638018,31.919914928608538,1538,1.1249628155925064,5.26892985503025e-05,-5.249975506455513e-05,36.445761530504,1538
11,0.9689067513785086,32.03391210028088,1544,1.1264240565866697,5.375629575381607e-05,-5.3893793142095296e-05,36.604965448354,1544
14,0.9690031365335883,31.928570656688724,1542,1.1246970997292416,5.1955080699186706e-05,-5.147080832478117e-05,36.557660266121,1542
18,0.9689428958116634,31.945635726770156,1540,1.1260250466764306,5.478534363178172e-05,-5.439644662962216e-05,36.483166549165,1540
22,0.9687943020309155,32.114738751220976,1550,1.1256547612579606,5.213947073855513e-05,-5.31408497204e-05,36.734380616243,1550
23,0.9688786390416103,32.11127183599625,1550,1.1262032324288627,5.2799004942132966e-05,-5.255980796331191e-05,36.726643597374,1550
24,0.9688846631138027,32.088804263546045,1547,1.1261736053150904,5.25647032002903e-05,-5.3235711354509695e-05,36.685843957469,1547
25,0.9691035377367963,31.835391324647578,1536,1.125228366074797,5.331872532851856e-05,-5.235503822339169e-05,36.396672283883,1536
