Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.8978090023534301,10.620928817273999,55352.07264058318,531,1.0705866555075092,0.0006355284445410718,-0.0005995189942529395
2,0.90435230540425,9.9404863400154,51776.71193018329,497,1.0662312034568355,0.0007201886343954916,-0.0006790105557426235
3,0.8997336407532099,10.422705710804,54443.23913570349,521,1.0697751009233911,0.0006656527991012981,-0.0006289642594035095
4,0.8999259533404599,10.402159000089,54285.92728820954,520,1.069929595102268,0.0006777024164940013,-0.0006400278580591923
5,0.9024328891494301,10.144637535662,52878.192433376935,507,1.0680465026086154,0.0006904749903601017,-0.0006512452601779544
6,0.89915615298154,10.481367145607,54646.91434471464,524,1.0698161841128433,0.0006623876859982558,-0.0006257133374657305
7,0.90088820378912,10.300000000001,53649.33950233035,515,1.068014068818894,0.0006715386341685697,-0.0006346717879769251
8,0.90011849881579,10.380882180159,54218.8452156233,519,1.0699658897469793,0.0006599599242630956,-0.0006221347490183968
9,0.89896370289181,10.502711279422,54759.15225726012,525,1.0702124988392607,0.0006471816532551388,-0.0006108443551026566
10,0.89761655226369,10.64077804802,55403.445976669274,532,1.0709476200441808,0.000626541895531367,-0.0005907357491652533
11,0.89723165208424,10.680024600526,55791.284618588885,534,1.0715444335709958,0.0006196148712542755,-0.0005846010418791818
12,0.90108065387884,10.28180430311,53722.4555550327,514,1.0686412292881606,0.0006783297824175616,-0.0006405478535141884
13,0.9010806538788501,10.280000000001,53675.33166556289,514,1.0690236622847622,0.000673522654937125,-0.000635577947024117
14,0.9006957536994,10.320000000001,53865.24997170941,516,1.068829035020716,0.0006774656724526834,-0.0006397243650859487
15,0.90088820378913,10.300300391703,53787.035853334404,515,1.0691533905956982,0.0006671735586368049,-0.0006290479977079743
