Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.7275600741833499,17.84323527854,69599.55319018719,522,1.190506059353033,0.00023418026619343154,-0.00022544454659843824
2,0.7432656178752901,16.816822154630998,65284.486926008874,492,1.1809363363920042,0.00027517687428142224,-0.0002644820617978523
3,0.72636730770691,18.036729791238,69990.05879923231,524,1.1899241067447934,0.00023343108473938641,-0.0002249593847555373
4,0.73056470397507,17.629471171096,69391.4548709471,516,1.186424576137404,0.000251874462775655,-0.00024285025443894845
5,0.7432729403722399,16.6583091212,65509.76841687853,492,1.180961646121049,0.00027027586426718017,-0.00025998437793233397
6,0.73261388179413,17.391681292589,69038.0637578165,512,1.1805098746867169,0.0002557071420378183,-0.0002461780513150898
7,0.73206750383743,17.585449344753002,69051.56323244826,513,1.18228024613839,0.0002510317889512497,-0.00024203675021994923
8,0.73367812401856,17.243427547672,68558.36425988491,510,1.1884198538674728,0.00024056402447963487,-0.00023104828634437343
9,0.7260038893419201,17.940531972530998,70034.57275762728,525,1.192468556832695,0.0002304639136486535,-0.00022201593493494809
10,0.7232023989684101,18.023469379433,71523.82571603036,530,1.1916839354342812,0.00021934537556517257,-0.00021139889869312733
