Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.94880827613185,5.319999999999901,27756.700859382727,266,1.03486485013624,0.0019027452180704,-0.0018121352141622
2,0.94900072622158,5.2999999999999,27688.4452436757,265,1.0349651998041345,0.0019343203225949,-0.0018394358060425
3,0.94880827613185,5.319999999999901,27863.515008847586,266,1.0353950387861222,0.001869902055583,-0.0017783848002845
4,0.94919317631131,5.28,27595.056886918097,264,1.0346762912046987,0.0018951752551897,-0.0018018758429071
5,0.94938562640104,5.2599999999999,27501.66853016052,263,1.0347148760506435,0.0019055834922869,-0.0018111485071985
6,0.95054032693943,5.1399999999999,26821.957869624846,257,1.0337203599932077,0.0019866434679621,-0.0018913407929014
7,0.94861582604213,5.34,27859.51399403427,267,1.0347537331544996,0.0019472582641243,-0.0018542048911118
8,0.9497705265805,5.22,27270.909519806868,261,1.0345633274501882,0.0019203262242259,-0.0018262317796502
9,0.94880827613185,5.32,27734.709710963492,266,1.034911700972775,0.0019198323252287,-0.0018242174094541
10,0.94861582604212,5.34,27821.81488245844,267,1.0349144973815303,0.0018383782374623,-0.0017465319166158
11,0.94842337595238,5.36,28025.1589813122,268,1.0355561543380942,0.001870417604748,-0.0017768405766884
12,0.94919317631131,5.28,27588.77370165546,264,1.0348552358249616,0.0018966768239837,-0.001802341088135
13,0.94861582604211,5.34,27868.938771928224,267,1.0349243728972362,0.0019050531901868,-0.0018141182780152
14,0.94880827613186,5.32,27753.55926675141,266,1.0350447964571623,0.0019047775079775,-0.0018116530077685
15,0.94880827613185,5.32,27803.824748852516,266,1.0349074741280184,0.0019219753758897,-0.0018300299852553
