Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.96984948594232,5.069839831416401,68842.6791212996,470,1.1030752005705118,0.0017062994159966,-0.0016083223532846
2,0.9710683365106,4.8648888595081,65962.2610789537,451,1.0989198095382056,0.0018129883255075,-0.0017084292470647
3,0.97042683621152,4.972757792091401,67525.92076530392,461,1.0996414128124683,0.0017467439609672,-0.0016482641312236
4,0.97061928630125,4.9403971123164006,66783.8652722965,458,1.1000782465808834,0.0017770668458018,-0.0016755045627994
5,0.97100418648069,4.8756757527664005,66432.80894426307,452,1.099410295860973,0.0017817513773673,-0.0016794060488104
6,0.97017023609187,5.0159053651247,68292.70558484424,465,1.1011909513291187,0.0017475947433686,-0.0016476633592808
7,0.97094003645078,4.8864626460247,66612.58453884053,453,1.0982211072490051,0.0018024035344646,-0.0016994441481872
8,0.97074758636108,4.9188233257997,67073.71852733834,456,1.1003703546314565,0.0017608577205523,-0.0016594774701897
9,0.97042683621151,4.972757792091401,67667.45792796614,461,1.1002192712550607,0.0017627494929053,-0.001662011505969
10,0.97036268618161,4.983544685349701,67739.80362391719,462,1.1010527425732537,0.001740149716608,-0.001640205944307
11,0.96997778600215,5.0482660448997,68895.75558326776,468,1.1026775896743972,0.0017111382161766,-0.0016130786350155
12,0.97061928630124,4.9403971123164006,67250.95688294459,458,1.1001660690352764,0.00175777758938,-0.0016572533475379
13,0.97029853615169,4.9943315786081,68591.92241683065,463,1.1030706791378608,0.0017323272814574,-0.001631167560916
14,0.97055513627131,4.9511840055747,67132.24277981775,459,1.1012648117176018,0.0017586559790287,-0.0016572778664039
15,0.97074758636107,4.9188233257997,67191.71189974734,456,1.1004222244712074,0.0017583803320495,-0.001657520580044
16,0.97074758636105,4.9188233257997,67122.47974318887,456,1.0994008234610624,0.0017634946456161,-0.0016625269889437
17,0.9704268362115,4.972757792091401,68037.66231072323,461,1.101157952356817,0.0017648347180366,-0.0016633544088019
18,0.97036268618159,4.983544685349701,68070.33591239176,462,1.102568767457214,0.0017390803442844,-0.0016383606910606
19,0.97017023609188,5.0159053651247,68413.3241134674,465,1.1017300492610838,0.0017210794447636,-0.0016215470442793
20,0.97061928630123,4.9403971123164006,67553.19649770753,458,1.1005184161922834,0.0017666148761173,-0.0016643916678065
21,0.97061928630124,4.9403971123164006,67325.8847722151,458,1.1001062852232808,0.0017958480040871,-0.0016931069850069
22,0.97094003645079,4.8864626460247,66309.18471721008,453,1.099061849900421,0.001791270187609,-0.0016890543062366
23,0.96984948594231,5.069839831416401,68948.99958853821,470,1.1035682597945502,0.0016872591700083,-0.0015894561441575
24,0.97017023609187,5.0159053651247,68554.53945341762,465,1.1022170719930875,0.001726426383737,-0.001627663817509
25,0.97049098624143,4.9619708988330995,67805.79347002842,460,1.1004192675885125,0.0017604094260886,-0.0016595807617065
