Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.72756007312143,17.842177512865,69599.55319018719,522,1.190506059353033,0.000234139796885,-0.0002253964677987
2,0.7432655899267,16.810583741175,65284.48692600887,492,1.180936336392004,0.0002751892442409,-0.0002644998055759
3,0.72636733111301,18.041809936579,69990.05879923231,524,1.1899241067447934,0.0002333893961055,-0.000224922946225
4,0.7305647207580699,17.6301622121,69391.4548709471,516,1.186424576137404,0.0002518759389432,-0.000242861575829
5,0.7432729434982801,16.657579582695,65509.768416878534,492,1.180961646121049,0.0002702948937851,-0.0002600131758507
6,0.7326138859390899,17.393736945387,69038.0637578165,512,1.1805098746867169,0.0002556967600139,-0.000246177520888
7,0.7320675179245401,17.578873553,69051.56323244826,513,1.18228024613839,0.0002509866519013,-0.0002420154403105
8,0.7336781580890301,17.247392385051,68558.36425988491,510,1.188419853867473,0.0002405679103777,-0.0002310534659567
9,0.72600389894027,17.939125134725,70034.57275762728,525,1.192468556832695,0.0002304636656833,-0.0002220124437405
10,0.72320238786596,18.022000473135,71523.82571603036,530,1.1916839354342812,0.0002193287800838,-0.0002113698704753
