Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.97921539030917,2.16,11254.614988670288,108,1.013915853313387,0.006249755076196525,-0.006027345862213344
2,0.9794078403989,2.14,11136.093890862143,107,1.013742825388486,0.0059734882446346935,-0.00576733206342073
3,0.97921539030917,2.16,11323.73002655931,108,1.0142292280304257,0.005715252706001197,-0.005521329868580309
4,0.97921539030917,2.16,11273.464544458204,108,1.0140531726452864,0.005636511972248231,-0.005430398718416689
5,0.97921539030917,2.16,11251.473396038964,108,1.0139987545994904,0.0058278665066744464,-0.0056141870719768104
6,0.97921539030917,2.16,11238.907025513692,108,1.013932636600699,0.005575813642372546,-0.005373691882619522
7,0.9794078403989,2.14,11145.518668756104,107,1.0136841901066926,0.005980405267833079,-0.005772871893611979
8,0.9794078403989,2.14,11173.793002437977,107,1.0138973923590056,0.005882457826019445,-0.005668068631587396
9,0.97921539030916,2.16,11257.756581301604,108,1.0139113797634691,0.0058709855260408025,-0.005668854901055405
10,0.97921539030918,2.16,11279.74772972084,108,1.0140977957532862,0.006288716380695519,-0.0060648214433692725
11,0.97921539030918,2.16,11295.455692877436,108,1.0139702014074252,0.006062782974372987,-0.005854418983776528
12,0.97940784039891,2.14,11195.78415085721,107,1.0140148974887784,0.0059670777240608324,-0.005759467993438065
13,0.97940784039891,2.14,11167.509817175334,107,1.0137851203589543,0.005794775523131146,-0.005594793448505189
14,0.97960029048864,2.12,11039.563941473238,106,1.013453036821588,0.006007333767821881,-0.005800714183045217
15,0.97921539030918,2.16,11257.756581301608,108,1.0138765965188914,0.006389058925347335,-0.006179371914588193
