Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.966513684387,5.6320965927061,74928.02800950485,522,1.1162060857901794,0.0015210103839097256,-0.0014318786193624972
2,0.96843818528431,5.3091190572448,70554.80280150447,492,1.1102362475111835,0.0016833748571823475,-0.0015850593185028508
3,0.96638538432719,5.6523320673663,75499.53756708009,524,1.1166089979981035,0.00153176438928454,-0.001442310345876101
4,0.96689858456645,5.566036921299701,73901.16301419148,516,1.114001141510669,0.0015766897959477695,-0.0014856884334848838
5,0.96843845880329,5.3097942617156,70705.23589972411,492,1.1105963779364587,0.0016605715499348696,-0.0015632898884953624
6,0.9671551846861,5.5228893482664,73948.45403289271,512,1.1123535768406752,0.0016005289102535675,-0.00150824138716955
7,0.96709103465618,5.5336762415247,74173.76569851936,513,1.1119281973632684,0.0015748600933205978,-0.00148459865690893
8,0.96728348474592,5.5013155617497,73670.5754909166,510,1.114620717089767,0.001586385860061373,-0.0014923275999064733
9,0.96632123429727,5.6658586682393,74958.31079469991,525,1.1165888119619871,0.0015182329478969651,-0.0014294943786191232
10,0.96600048414772,5.7170534269164,76532.22216440673,530,1.1180110097564846,0.0014886873081857946,-0.001401125340252818
11,0.96561558396826,5.781774786466402,77156.34826647623,536,1.1201932235793943,0.0014528169026734904,-0.0013668522945440467
12,0.96715518468611,5.5228893482664,73541.73692836793,512,1.1135205623350493,0.0015570841543571744,-0.0014659457112942565
13,0.96760423489547,5.4473810954581,73542.55108800199,505,1.1127802742011157,0.0015881229513266448,-0.0014946379653066767
14,0.96786083501511,5.4042335224247005,72345.36474133548,501,1.1113947384839349,0.0016444352758860485,-0.0015489630379643402
15,0.96709103465619,5.5336762415247,74342.55811799354,513,1.114828962407592,0.0015522789344461876,-0.0014612701693989675
16,0.96779668498521,5.415020415683099,72440.12195813839,502,1.1105293030019736,0.0016144217462418795,-0.0015204988134604918
17,0.96696273459637,5.555250028041401,74086.10712398616,515,1.1149636649543977,0.0015383116974043655,-0.001448036603686764
18,0.96760423489548,5.447381095458,72966.97215690056,505,1.1139427289563608,0.001572441261966143,-0.0014802640821824015
19,0.96773253495531,5.4258073089414,72667.04184810324,503,1.1113780642478428,0.0016035537298918381,-0.0015099351396160555
20,0.96741178480574,5.479741775233,73440.00417963111,508,1.1134344885177454,0.0015941625741019909,-0.0015011399583431785
21,0.96754008486556,5.458167988716401,72729.10693435244,506,1.1121137503903402,0.0016234802248192286,-0.0015290479559743374
22,0.96792498504502,5.3934466291664025,71983.72350470429,500,1.1099818082873358,0.0016416257557894554,-0.0015464125258055155
23,0.96728348474591,5.5013155617497,73902.82766235412,510,1.1133235919262603,0.001566905620611598,-0.0014750975795178847
24,0.9670910346562,5.5336762415247,74330.51813649577,513,1.1139836215692944,0.0015501877968375685,-0.001460232665415939
25,0.96651368438699,5.6307582808497,75625.7922517746,522,1.1164881480896334,0.0015488770235467793,-0.001457721188732435
