Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.7275600997787399,17.849676569703,69599.55319018719,522,1.190506059353033,0.00023420977602642818,-0.0002254655278545189
2,0.74326589336463,16.813711511146,65284.486926008874,492,1.1809363363920042,0.0002751431427295792,-0.0002644660160639388
3,0.72636731488112,18.039530349912,69990.05879923231,524,1.1899241067447934,0.00023343494857187887,-0.00022496145075884264
4,0.730564710077,17.631501884116002,69391.4548709471,516,1.186424576137404,0.0002518796355822645,-0.00024285654486693687
5,0.74327293487674,16.658244949447994,65509.76841687853,492,1.180961646121049,0.0002702819487833857,-0.0002599880338795926
6,0.7326138837701701,17.391662027788,69038.0637578165,512,1.1805098746867169,0.0002557296511793882,-0.0002461951344769709
7,0.73206750549239,17.582227395551,69051.56323244826,513,1.18228024613839,0.00025101683868346557,-0.00024203646561487998
8,0.73367813170311,17.247481621766,68558.36425988491,510,1.1884198538674728,0.00024057114452785602,-0.00023107161992781095
9,0.7260038778520199,17.945715850383998,70034.57275762728,525,1.192468556832695,0.00023047983236386188,-0.0002220300029386399
10,0.7232023923627401,18.022600502027,71523.82571603036,530,1.1916839354342812,0.0002193217492132081,-0.00021138150178630084
