Porosity,M0_ps,M1_ps,M3_ps,Tau_ps,M0_eff_ps,M1_eff_ps,M3_eff_ps,Permeability,Energy
0.05,0.050065825228162886,36.5469284344701,-2014,inf,0.0,3.5029170026531102,1,5.0883730983493625e-12,-3.9831776992094185e-13
0.1,0.09964908828545192,60.8597789892201,-2751,inf,0.0,3.5029170026531102,1,4.564126872806759e-11,-3.4195186365481437e-12
0.14,0.14001213433031615,76.58484808827039,-2882,inf,0.0,3.5029170026531102,1,7.403424599783934e-11,-9.682511015466482e-12
0.18,0.17996055171379846,89.01658637572676,-2933,inf,0.0,3.5029170026531102,1,1.5789060023426041e-10,-2.360187607532632e-11
0.23,0.2298823110511422,103.57220341866173,-2754,inf,0.0,3.5029170026531102,1,2.608818650788476e-10,-2.943287464819391e-11
0.27,0.26994551264031785,112.12575828758685,-2348,inf,0.0,3.5029170026531102,1,3.86352886394072e-10,-5.83669775805806e-11
0.32,0.31956977005678305,120.92151799344623,-1915,inf,0.0,3.5029170026531102,1,1.6644298946802218e-09,-5.432277854925983e-10
0.36,0.35945493900039355,126.66913147755665,-1518,inf,0.0,3.5029170026531102,1,2.770890968679225e-09,-9.286470709533852e-10
0.41,0.4102059556605011,131.43910592177312,-973,inf,0.0,3.5029170026531102,1,4.024615442401995e-09,-1.8569872194279223e-09
0.45,0.4500126496879744,133.75985455822928,-479,inf,0.0,3.5029170026531102,1,9.003945922443771e-09,-3.980397500597009e-09
0.5,0.5000562208354417,134.56768411200122,93,inf,0.0,3.5029170026531102,1,2.7876568612291414e-08,-1.5951697605954568e-08
0.55,0.5502040347819569,132.5452536677002,786,10.559855889467142,0.5039284308764829,116.39219954796387,1157,1.099738545651989e-07,-8.966899627647867e-08
0.59,0.5897659339217781,130.89835962656804,1272,5.772098545368843,0.5675891568748712,122.43054955355957,1514,2.03294564843723e-07,-1.8024260266956233e-07
0.64,0.6398727535091171,125.80925592224577,1839,3.5253097902626904,0.627647064335376,121.22820325443462,1986,4.35435992328554e-07,-4.064304576895624e-07
0.68,0.6800202863514552,121.2611341607684,2321,2.797023664997164,0.6735993984370607,118.61901054093735,2421,7.866473092294626e-07,-7.350523777649641e-07
0.73,0.7302688292948033,110.4087157807482,2693,2.0912381620832026,0.7272727272727273,109.0729730035059,2747,1.5843080092155125e-06,-1.539067593645097e-06
0.77,0.7702558985026517,101.6320723319307,2896,1.8385344535264931,0.7687859579093346,100.8356262632268,2937,2.444482589224266e-06,-2.3930329772482e-06
0.82,0.8199551170330391,88.01443090009556,3206,1.505089100424781,0.8194175052941287,87.72349307062122,3218,4.3188733018577275e-06,-4.236104590478338e-06
0.86,0.859957412717153,74.07489578784245,3153,1.351802300945625,0.8597582972582972,73.99897209543278,3156,6.781539960867148e-06,-6.6948580868977286e-06
0.91,0.9101427072206292,54.34920686494354,2859,1.1955969335895946,0.9101099117332884,54.31045962057532,2859,1.4188573565024933e-05,-1.4189781688375625e-05
0.95,0.9499107494237364,34.08861507159591,2143,1.0967448539708828,0.9499095781563314,34.08593355453459,2144,3.2948390964387814e-05,-3.296818207246759e-05
