Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.7986584391227345,80.25434090321812,2566,1.2749771282109341,7.118872660189142e-06,-7.0813762090372306e-06,80.186487529834,2567
2,0.7986865514596327,80.25340440375078,2567,1.2718963144861535,6.954123567285873e-06,-6.991583818331191e-06,80.171137375758,2567
3,0.7978090449435946,80.59748937889628,2577,1.2778191378307262,7.059748527506815e-06,-7.081077898355014e-06,80.502707947089,2578
4,0.7979224983032197,80.49749462114397,2573,1.2743181164294493,6.826042415800997e-06,-6.899314315878782e-06,80.527497680899,2575
5,0.79767651535536,80.6832353366496,2582,1.2752832667250347,6.89749252209374e-06,-6.9734915957084765e-06,80.472091962215,2582
6,0.7978180810518833,80.59168938914463,2578,1.2739650638410287,6.720224345163656e-06,-6.753387279031358e-06,80.479750570969,2578
7,0.7983100469476027,80.4336541037931,2573,1.2723568395828915,6.913484062223934e-06,-6.804643830587036e-06,80.261559856726,2574
8,0.799717671816579,79.80972215823587,2552,1.2711697696506643,7.0357947468004434e-06,-7.05749647880687e-06,79.76910809188,2552
9,0.800105220460962,79.68734834112792,2549,1.2695656396338704,6.913959447067591e-06,-6.963144949021829e-06,79.583123502429,2549
10,0.7979877590853048,80.51839139726738,2575,1.2780925285925877,6.91341521584687e-06,-6.894914871774404e-06,80.448328949618,2575
11,0.7978883618941289,80.54876876788046,2575,1.2769661526660396,7.012150904198671e-06,-7.1095020842747925e-06,80.508965593347,2575
12,0.7984757089328959,80.31739602240557,2566,1.2780150873943674,7.2638385722882e-06,-7.301207214517009e-06,80.269153689721,2569
13,0.7976684832591033,80.65518146396107,2578,1.2767248852855335,6.889544143618726e-06,-6.920942881521773e-06,80.612720825668,2579
14,0.8003070268794101,79.59336726264056,2544,1.272509390044477,7.253298113125872e-06,-7.169402061882548e-06,79.518966007295,2546
15,0.8013130469355545,79.25111581818364,2531,1.2717302188974529,7.2454831783319676e-06,-7.3134665023020504e-06,79.128845935527,2536
16,0.7982638623941269,80.42265852950554,2573,1.2746557912272256,7.161055354384487e-06,-7.21186393766748e-06,80.255116154749,2573
17,0.7975329416347725,80.7067414650226,2582,1.2758402830123374,6.925577844394682e-06,-6.972232445771856e-06,80.570317976335,2582
18,0.7991473929823575,80.05124249162554,2558,1.2735698595519487,7.033504015668698e-06,-7.054362496177839e-06,79.986704240409,2561
19,0.7980409717230051,80.5001366699592,2573,1.2766704013016879,6.927577425407313e-06,-6.977732365875568e-06,80.381922355143,2574
20,0.7987297239770121,80.2061920008524,2563,1.2771220120608915,7.0570404624294745e-06,-7.011277940706261e-06,80.138016880286,2566
21,0.7973512154569661,80.79325647265652,2584,1.276427357335346,6.92904415986338e-06,-6.963642498557673e-06,80.673784137796,2584
22,0.7974074401307625,80.76856745873724,2583,1.2725711748966788,6.593756485882548e-06,-6.610072628917341e-06,80.652059905821,2584
23,0.7976182826574993,80.65161926396131,2579,1.275112100837259,6.872910874831912e-06,-6.822028762369197e-06,80.607106944784,2580
24,0.7983481994048217,80.33373151085253,2569,1.2751714014867466,6.8193558392105265e-06,-6.934370908981385e-06,80.299952393114,2569
25,0.7996062264810182,79.89242180811064,2556,1.2757268492734168,7.2415423503716346e-06,-7.185992424467923e-06,79.763742859758,2556
