Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9845532748864463,7.212861250140643,263,1.0253705601065912,0.0005448975055922439,-0.0005415813020249309,7.2359899080481,263
2,0.9843896209252172,7.290411555406032,265,1.025492461747865,0.0005092363118007757,-0.0005212173151531302,7.3000560604357,265
3,0.9845121103931309,7.217747860388239,263,1.0251691526414386,1e-16,1e-16,1e-16,263
4,0.9844689378757515,7.249331236510884,263,1.0246972112667518,0.0004883069402125208,-0.0005146670239045984,7.2498666839895,263
5,0.9844317894305645,7.27133873336883,265,1.0251550658268058,1e-16,1e-16,1e-16,265
6,0.9843946409853775,7.289800378509847,265,1.0256421692670956,1e-16,1e-16,1e-16,265
7,0.9845432347661255,7.197961804999371,262,1.0252459268893523,1e-16,1e-16,1e-16,262
8,0.9843906249372493,7.272107783249411,264,1.0253022146865385,0.0005170503603672022,-0.0005340580593898061,7.2878041632442,264
9,0.9843715487086397,7.281795295571941,265,1.0255139148949681,1e-16,1e-16,1e-16,265
10,0.9844046811056983,7.2815257895297165,265,1.024984585494112,1e-16,1e-16,1e-16,265
12,0.9844819900321685,7.245499530468913,264,1.0254080770807417,0.0005512779548378947,-0.0005471614157185595,7.2918284558514,264
16,0.9845783751872482,7.189726684265341,262,1.0248985144819862,0.000505538998207867,-0.0005162386674230471,7.2323187655795,262
20,0.9844850020682648,7.246935573774594,264,1.0253883765618197,0.0005571166204759002,-0.0005827583530423269,7.2697355814449,264
23,0.984538214705965,7.214510982959635,263,1.025240920886669,0.0004814618069294183,-0.000502315344353241,7.2367686348259,263
