Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9297201617664186,42.94594268415493,1790,1.1146147615564819,2.81020613289518e-05,-2.819974469227479e-05,43.240153548043,1790
2,0.9296920494295203,42.975859979175766,1792,1.1144168377287949,2.7898314138829915e-05,-2.7922026776279227e-05,43.271225419045,1792
3,0.9295645399014462,43.07390280150122,1795,1.1177492005138026,2.8116942332662605e-05,-2.806991799558892e-05,43.383357794525,1795
4,0.92966293308059,42.98639547787108,1791,1.1176176286516666,2.7624564984847645e-05,-2.7783087041118008e-05,43.298615704641,1791
5,0.9294832149268477,43.132373513048954,1798,1.1168326899793728,2.8429548432781165e-05,-2.880301077726759e-05,43.370429274677,1798
6,0.9294430544455645,43.17338843881283,1800,1.113602513474885,2.6883391696426592e-05,-2.7157372980253742e-05,43.477602954403,1800
7,0.9297221697904827,42.96252455868083,1791,1.114647536449975,2.7629937694134074e-05,-2.7445250553280887e-05,43.244673902001,1791
8,0.9297312058987715,42.979629097008356,1791,1.1141238751703417,2.8043733126300277e-05,-2.8382479541255402e-05,43.2873353087,1791
12,0.9299199601608026,42.864028432443575,1784,1.1154836604280396,2.8255292369850416e-05,-2.831797648338172e-05,43.119319819516,1784
16,0.9296348207436917,43.06619992117118,1795,1.115128209829282,2.7495887692578393e-05,-2.733684651908366e-05,43.372346132566,1795
20,0.9302241758065228,42.64738091084275,1777,1.1152718220565867,2.782398924726759e-05,-2.7730669546125208e-05,42.940606938119,1777
23,0.9292302038947635,43.249384296034236,1803,1.1194544560130606,2.820395381561773e-05,-2.8371701329818283e-05,43.562909498768,1803
