Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.8085730579395264,96.74301107215081,3704,1.2894246358565193,4.769457766738615e-06,-4.661318000229918e-06,97.042064974647,3704
2,0.8092357058806993,96.47823776814758,3691,1.2886023630533043,1e-16,1e-16,1e-16,3693
3,0.8080740639595825,97.05120454125661,3715,1.2908017361550108,1e-16,1e-16,1e-16,3715
4,0.8082758703780306,96.89611070240629,3707,1.2900413509837616,1e-16,1e-16,1e-16,3708
5,0.809082092039791,96.56189026577245,3695,1.2881152817584762,1e-16,1e-16,1e-16,3695
6,0.81074674398898,95.67414463564256,3661,1.2850565816064141,1e-16,1e-16,1e-16,3661
7,0.8089114099943374,96.6307357981092,3696,1.2889473539399432,1e-16,1e-16,1e-16,3697
8,0.8100148192175936,96.01530847932823,3673,1.2870931532762422,1e-16,1e-16,1e-16,3673
9,0.8087748643579745,96.72265330811189,3699,1.2885596523548815,1e-16,1e-16,1e-16,3700
10,0.8072507740932767,97.44584085318456,3727,1.2908602158393934,1e-16,1e-16,1e-16,3729
