Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9788775948690969,11.15645974976848,439,1.0214027344271643,0.0002434571770894183,-0.00024854908409008313,12.258209511288,439
2,0.9789016911578668,11.148875274176731,439,1.0212502561577295,1e-16,1e-16,1e-16,439
3,0.9788434584600062,11.165940344258164,439,1.0212588864991172,1e-16,1e-16,1e-16,439
4,0.9788796028931611,11.154563630870543,439,1.0210338428224892,0.0002302825946359003,-0.0002399208761092521,12.254768510927,439
5,0.9788836189412894,11.154563630870543,439,1.021389867714249,1e-16,1e-16,1e-16,439
6,0.9788314103156213,11.179998574707122,440,1.0213409795471202,1e-16,1e-16,1e-16,440
8,0.9788976751097385,11.13860928152365,438,1.0212263438283062,0.00022957623631479225,-0.0002354571045964543,12.25754929593,438
11,0.9787671535455681,11.211121875237513,441,1.0215165640059314,0.00024928330410371193,-0.00025515147035157893,12.326603059642,441
15,0.9790322127220372,11.07636268046287,436,1.0211651591018114,0.00025922323415711914,-0.0002625889372012188,12.166776178091,436
19,0.9788514905562629,11.164044225360229,439,1.02128122891245,0.00024811982926781163,-0.0002533169545122438,12.283549295889,439
23,0.9788575146284553,11.162148106462293,439,1.0214129080081147,0.00024298254959844877,-0.0002484570779964543,12.276093548637,439
