Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9679288436592625,17.546588515485837,700,1.0594708270222,0.00013732746292775626,-0.00014063571334415513,19.3568312484,700
2,0.9679649880924173,17.523049690547197,699,1.0591513794910234,1e-16,1e-16,1e-16,699
3,0.9676175999293175,17.644075977444025,701,1.0599727711705877,1e-16,1e-16,1e-16,701
4,0.9675292468704945,17.663822564586795,702,1.0591651733142975,0.00012637742646825486,-0.00012992427413994462,19.426859753744,702
5,0.9676336641218308,17.60157596352601,700,1.0595569397877054,1e-16,1e-16,1e-16,700
6,0.9678143862876053,17.575030298954893,700,1.0593731545682317,1e-16,1e-16,1e-16,700
8,0.9676396881940234,17.57914785932191,698,1.059577898233096,0.00012879352588609418,-0.00012932798734570638,19.300400473396,698
11,0.967910771442685,17.508206061934843,697,1.0594784326540863,0.0001377726993803878,-0.0001384439759565651,19.271346435778,697
15,0.9679017353343963,17.48008960103693,695,1.0587705551920201,0.00013739251880421054,-0.00013956517274825485,19.184094904036,695
19,0.9678716149734339,17.527952649077612,698,1.0592482282097242,0.00013516898676121884,-0.0001376727583201108,19.309688322878,698
23,0.9677541455656805,17.598569123893537,701,1.060041867434103,0.00013622871478304708,-0.0001365091949102493,19.388465371289,701
