Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9380645057650371,39.565006459234,1547,1.109376136803478,3.337938337898726e-05,-3.338068697388034e-05,41.423155675144,1547
2,0.9379610925257328,39.61507856721951,1550,1.1099172571660314,1e-16,1e-16,1e-16,1550
3,0.9377703302396376,39.71153704985724,1553,1.1078217674367405,1e-16,1e-16,1e-16,1553
4,0.9379450283332196,39.640135176877926,1548,1.1096042806379711,3.355287624636122e-05,-3.352488915716011e-05,41.430100761676,1548
5,0.938113702354609,39.557194750768005,1545,1.1104304880216882,1e-16,1e-16,1e-16,1545
6,0.9378576792864286,39.711648682915076,1555,1.1103979942630466,1e-16,1e-16,1e-16,1555
8,0.9384540624334842,39.28470898983234,1540,1.109112233787654,3.37752070077241e-05,-3.426934020467922e-05,41.241979518677,1540
11,0.9382542640391003,39.46107513406234,1544,1.1092051091259676,3.452390549950693e-05,-3.4716733573980055e-05,41.362277471636,1544
15,0.9388566712583484,39.07438808854337,1530,1.1074112439473922,3.33788289879025e-05,-3.372432625955346e-05,40.939563065198,1530
19,0.9385153071674411,39.338740785200486,1538,1.1093313519845607,3.380747435675457e-05,-3.425586704114017e-05,41.200075331135,1538
23,0.9380303693559464,39.60203180597151,1550,1.109481628621615,3.3866428699757345e-05,-3.380927370930526e-05,41.496408119992,1550
