Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9145374918173019,46.134604174177014,1710,1.129616582191045,2.527712088329418e-05,-2.53024517115723e-05,48.230845852111,1710
2,0.9146429130806704,46.11885674266297,1707,1.1290132512467994,2.510926576383158e-05,-2.5198922717070362e-05,48.12129233088,1707
3,0.9145394998413661,46.2035218713255,1709,1.1291916895373042,2.529761999157895e-05,-2.519604889821496e-05,48.230934176659,1709
4,0.9145274516969811,46.17852668803978,1709,1.128972609039454,2.5495326870104157e-05,-2.5528563571778394e-05,48.22281014337,1709
5,0.9142453243159666,46.33049528251933,1714,1.129839112401735,2.5638085418310253e-05,-2.588108845597784e-05,48.281104887245,1714
6,0.9140033574162353,46.43767025680005,1719,1.1298270127412104,2.454569137726759e-05,-2.455257793270914e-05,48.472046835454,1719
7,0.9145535560098152,46.21036602684372,1709,1.128222225936456,2.506027537948809e-05,-2.4705497277916898e-05,48.162643670686,1709
8,0.9147423102718463,46.08235966957087,1705,1.127926717012662,2.533303449970637e-05,-2.545407342483103e-05,48.113945288131,1705
10,0.914012393524524,46.45129433654192,1720,1.129755098337459,2.449362604181828e-05,-2.436077936799557e-05,48.490323862947,1720
11,0.914863795727728,46.04671174468823,1700,1.1295073044060078,2.566917921503601e-05,-2.5908222094961776e-05,47.990991567378,1700
13,0.9147322701515255,46.04957144977536,1703,1.1281664014481554,2.4719707809465927e-05,-2.4670751014413296e-05,48.082925808818,1703
14,0.9149099802812037,45.966752233325636,1700,1.127696020491831,2.483636339665042e-05,-2.4764186432336842e-05,47.987212862858,1700
15,0.9155224276207726,45.639460017297466,1691,1.1274223542772215,2.4970041663270917e-05,-2.5360317765674238e-05,47.65264846005,1691
16,0.9142433162919025,46.379134152121054,1714,1.1293628923523888,2.464777770180277e-05,-2.4331338564223824e-05,48.311710062512,1714
17,0.9149109842932358,45.94617120317101,1702,1.1271646242607722,2.448843153998892e-05,-2.434888360162105e-05,47.979182077784,1702
19,0.914701145778531,46.05650808514672,1702,1.1286930857820539,2.4737911128473132e-05,-2.5015592318701387e-05,48.046053268869,1702
22,0.9141840795820098,46.368921171075,1716,1.1291694977742963,2.4876061749964544e-05,-2.5167010850081994e-05,48.410897577328,1716
23,0.9139571728627596,46.42138777996013,1719,1.1304689429011996,2.5116827345735183e-05,-2.5090375420211637e-05,48.501757699376,1719
