Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.818347115071827,93.28744107444548,3641,1.2475535961541127,4.608645404292964e-06,-4.496045224145596e-06,102.48093516489,3641
2,0.8184334601065859,93.26413228730296,3641,1.2475693201960778,1e-16,1e-16,1e-16,3641
3,0.817107160212208,93.9124933173396,3665,1.2503058531378577,1e-16,1e-16,1e-16,3665
4,0.8169374821787865,94.01557385121659,3669,1.2499092403303496,4.559348608638449e-06,-4.4499707177038235e-06,103.29946439585,3670
5,0.8184244239982972,93.2684798854661,3641,1.2474514373593795,1e-16,1e-16,1e-16,3641
7,0.8188702053405408,93.03956539093689,3632,1.2471248514331719,4.590224286185707e-06,-4.4660147677566765e-06,102.20710773347,3632
10,0.8166774430624777,94.14006705333814,3674,1.251141566189544,4.558271822488975e-06,-4.452992267458837e-06,103.39807267307,3674
13,0.817782860309798,93.5685662151785,3651,1.2481349240120314,4.616852244889973e-06,-4.486369525895291e-06,102.77516709947,3652
16,0.81778386432183,93.5364274786886,3649,1.2484214621055574,4.577840048369196e-06,-4.479411102734182e-06,102.72369843163,3649
19,0.8158732294247815,94.55026303215202,3690,1.2515550006990277,4.434179034690083e-06,-4.353333774733075e-06,103.90426011972,3690
22,0.8176402906012425,93.67488362648409,3657,1.2497336036709974,4.603509439735292e-06,-4.536423306370083e-06,102.95050764862,3657
