Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9982329388235388,1.8339304370785507,149,1.0045972776836758,0.0023998757189704154,-0.0024310101625371746,2.0849804848281,88
2,0.9982399669077634,1.8373973523032823,151,1.004644109743055,1e-16,1e-16,1e-16,88
3,0.9982249067272823,1.8349458730380757,144,1.004617086836214,1e-16,1e-16,1e-16,88
4,0.9982309307994747,1.838373320016709,149,1.004509927660595,0.0020242375696886425,-0.00209721994777928,2.0899832567114,88
5,0.998234946847603,1.8322248877306424,143,1.0044792223929353,1e-16,1e-16,1e-16,88
7,0.998246994991988,1.8103521438938102,151,1.0045296049476367,0.002152234955959446,-0.0022309806240278117,2.0662334469761,87
11,0.9982208906791539,1.8370325614860419,144,1.004680806095173,0.002151927774294183,-0.0022027991213345154,2.0866314247454,88
14,0.998246994991988,1.8171512213221608,142,1.0045275406150085,0.002331241854397562,-0.0023672831066589473,2.0645447997218,87
18,0.9982188826550897,1.8442917145066475,144,1.004649146343503,0.002164419603083324,-0.002210545578248864,2.0875516341399,88
22,0.9982640631965334,1.8192215614873095,152,1.0046450816267465,0.002239495040983712,-0.0021989552468894185,2.0599579244368,87
23,0.9982289227754105,1.8365724858937864,143,1.0047356817115813,0.0020186014147119116,-0.002139259359908144,2.0875556680908,88
24,0.998234946847603,1.8277425365463853,143,1.0044821172318128,0.002402742821202992,-0.0023736721536364545,2.0821741162752,88
25,0.9982299267874426,1.8324549255267701,140,1.004633627716034,0.0022371930791587813,-0.0021418197776,2.0899832567114,88
