Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9728033220750117,23.447909039328998,1042,1.0825044416626406,9.081393871068255e-05,-9.218036082574738e-05,25.810714543302,1042
2,0.9728424785442629,23.372389605982658,1041,1.0814569496747142,1e-16,1e-16,1e-16,1041
3,0.9727320372207341,23.454842869778464,1042,1.0816151310498314,1e-16,1e-16,1e-16,1042
4,0.9728374584841025,23.424504967411465,1043,1.0817329809751464,8.606253306308588e-05,-8.757096702723657e-05,25.833453478743,1043
5,0.9727531214734078,23.483228836718602,1047,1.0820464022875427,1e-16,1e-16,1e-16,1047
7,0.9729669760362408,23.282542436145135,1035,1.0813238979141124,8.95364195206482e-05,-8.973020550635901e-05,25.635437446768,1035
11,0.9728625587849045,23.37937925296104,1038,1.0825528230807897,8.877168753163767e-05,-8.906666147030693e-05,25.70688905531,1038
14,0.9727872578824984,23.466259051412184,1044,1.0812752472540936,8.821731780872133e-05,-8.819291499370194e-05,25.866735840014,1044
18,0.9729167754346368,23.345058543248143,1041,1.0814832231921017,9.146366666353021e-05,-9.231342396928753e-05,25.772684526599,1041
22,0.9728635627969365,23.42417964484033,1045,1.0813970480649102,8.83827644727845e-05,-9.091782826158892e-05,25.874127903346,1045
23,0.9728394665081667,23.442624941698526,1045,1.0820865472482533,8.718949145480777e-05,-8.76015162628133e-05,25.885342276222,1045
24,0.9728454905803591,23.396388506513553,1041,1.0813425201114084,8.859802808551136e-05,-9.014953832760665e-05,25.799665699349,1041
25,0.9727039248838358,23.484434842228154,1046,1.081899618066296,8.770468332826483e-05,-8.506296987447092e-05,25.902513472972,1046
