Sample,M0,M1,M3,Tau,Permeability,Energy,M1_Moose,M3_ana
1,0.9658676069574018,31.751585800724705,1783,1.0792948689592585,4.359661354287645e-05,-4.3625034720155126e-05,35.508296569917,1463
2,0.9658394946205036,31.7427953196234,1770,1.077973397766168,1e-16,1e-16,1e-16,1462
3,0.9657260412608785,31.93001831836128,1804,1.079939305115932,1e-16,1e-16,1e-16,1469
4,0.9657069650322689,31.82460751487928,1761,1.0790103092833836,4.3530696111447095e-05,-4.37695002946061e-05,35.536260422056,1464
5,0.9658274464761186,31.747730974719456,1770,1.080038384480462,1e-16,1e-16,1e-16,1463
7,0.9660473251111441,31.519966669170877,1759,1.0786149375588585,4.3328385764708035e-05,-4.3277065912354567e-05,35.306103125151,1454
11,0.9658174063557977,31.72385047892685,1770,1.0797581862430787,4.516950207337064e-05,-4.521724788254627e-05,35.491149734588,1461
14,0.9659238316311982,31.619761280770803,1790,1.0801836954663628,4.409217192919003e-05,-4.379783162325873e-05,35.357353259627,1456
18,0.9659067634266529,31.6682885173147,1801,1.080529988145621,4.531731032045651e-05,-4.470879106237673e-05,35.385620085814,1458
22,0.9657631897060655,31.807864962447095,1787,1.080179842061082,4.342229756086094e-05,-4.421144151775845e-05,35.613780372375,1466
23,0.9658927072582038,31.71893117211362,1765,1.0798564537212618,4.35447947528277e-05,-4.3272977039505814e-05,35.496305365453,1462
24,0.9657360813811993,31.834522260076042,1791,1.081649733708271,4.405634331328975e-05,-4.4498344822306925e-05,35.494173272671,1461
25,0.965944915883872,31.695369227211696,1784,1.0823639448730307,4.485574191261164e-05,-4.399283507772078e-05,35.401557388647,1459
