Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.9095484578269499,9.399999999999801,49029.031628273435,470,1.0623249168527038,0.0007804083653156847,-0.0007372042934264888
2,0.9132050095318299,9.020018587171199,47047.30773621217,451,1.059868483723457,0.0008380398168776586,-0.0007911241142780263
3,0.91128050863453,9.219999999999805,48204.24438061174,461,1.0613980268242782,0.0008133253740452573,-0.0007698980310469021
4,0.91185785890373,9.160841765456999,47814.1235682428,458,1.0612745288588166,0.0008204230640397402,-0.0007752937011646089
5,0.9130125594420899,9.0400000000006,47206.66953822745,452,1.0602293508553302,0.000823003281448694,-0.0007777863156003003
6,0.9105107082756101,9.3000291712404,48483.55002870248,465,1.061704347826087,0.0008012527836269332,-0.0007572250983811559
7,0.91282010935238,9.0600000000006,47190.102152888874,453,1.0598298870350666,0.0008348164547209254,-0.000788861238231809
8,0.91224275908319,9.137246956203699,47646.19641051553,456,1.0611267114581442,0.0008093151847734149,-0.0007643642354478313
9,0.91128050863453,9.2212422393926,48059.731119571035,461,1.061096689222944,0.0008107927436971747,-0.0007662777694491006
10,0.91108805854479,9.240000000000599,48096.57080896488,462,1.0610425299098731,0.0008002231970715018,-0.0007558236224099249
11,0.90993335800641,9.3600492010513,48939.64428632914,468,1.0623687904475434,0.0007846328376606554,-0.0007415083663461923
12,0.91185785890373,9.160000000000599,47873.81382823785,458,1.0608047223357395,0.0008069890753552619,-0.0007625427099702595
13,0.9108956084550601,9.2600000000006,48409.87064991482,463,1.0624855237097912,0.0007833579438852994,-0.000739152933259891
14,0.91166540881399,9.1800000000006,47904.37033236909,459,1.0609376617480135,0.0008055543413687845,-0.0007605208375223168
15,0.91224275908318,9.1200000000006,47649.338003146884,456,1.0608798075613852,0.0008122203763129013,-0.0007673629715973576
