Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.966513684387,5.6321968648362,74928.02800950485,522,1.1162060857901794,0.0015209661231374509,-0.001431886419305456
2,0.9684381852843,5.309248010273,70554.80280150447,492,1.1102362475111835,0.001683795825019564,-0.0015856154699318398
3,0.96638538432718,5.6523320673663,75499.53756708009,524,1.1166089979981035,0.0015317251224778155,-0.001442250244798692
4,0.96689858456646,5.566036921299701,73901.16301419148,516,1.114001141510669,0.0015767165875492752,-0.001485768443741809
5,0.96843845880328,5.309658703710901,70705.23589972411,492,1.1105963779364587,0.0016607133757332163,-0.0015634232289128526
6,0.96715518468609,5.5228893482664,73948.45403289271,512,1.1123535768406752,0.0016003606482357456,-0.0015080125287560634
7,0.96709103465618,5.5336762415247,74173.76569851936,513,1.1119281973632684,0.0015748479547456125,-0.001484626509856511
8,0.9672834847459,5.5013155617497,73670.5754909166,510,1.114620717089767,0.0015862832191940249,-0.0014921541329425744
9,0.96632123429727,5.6656141526146,74958.31079469991,525,1.1165888119619871,0.0015183176038231349,-0.0014296477595710187
10,0.96600048414772,5.7170534269163005,76532.22216440673,530,1.1180110097564846,0.0014886624507034266,-0.0014011538927413678
11,0.96561558396826,5.7817747864663,77156.34826647623,536,1.1201932235793943,0.0014527573734276252,-0.0013667542079975675
12,0.9671551846861,5.5228893482664,73541.73692836793,512,1.1135205623350493,0.0015572600572108365,-0.0014661971079333992
13,0.96760423489547,5.4473810954581,73542.55108800199,505,1.1127802742011157,0.0015879707452568352,-0.001494546495021887
14,0.96786083501512,5.4042335224247005,72345.36474133548,501,1.1113947384839349,0.0016444147077411026,-0.0015488710361521176
15,0.96709103465619,5.5336762415247,74342.55811799354,513,1.114828962407592,0.0015523397022575364,-0.0014613297050568757
16,0.96779668498518,5.415020415683099,72440.12195813839,502,1.1105293030019736,0.0016147600151228574,-0.0015208106159767204
17,0.96696273459636,5.555250028041401,74086.10712398616,515,1.1149636649543977,0.0015383383608337821,-0.001448168902440031
18,0.96760423489547,5.447381095458,72966.97215690056,505,1.1139427289563608,0.0015726170815694078,-0.0014804249246061836
19,0.96773253495529,5.4258073089414,72667.04184810324,503,1.1113780642478428,0.0016033785631389696,-0.0015096769297323928
20,0.96741178480573,5.479741775233,73440.00417963111,508,1.1134344885177454,0.001594412097263812,-0.0015013811799342725
21,0.96754008486557,5.458167988716401,72729.10693435244,506,1.1121137503903402,0.0016232604404815018,-0.001528761670146317
22,0.96792498504503,5.3934466291664025,71983.72350470429,500,1.1099818082873358,0.0016415027035387025,-0.0015463265574655518
23,0.96728348474593,5.5013155617497,73902.82766235412,510,1.1133235919262603,0.0015669597557782646,-0.0014752618873217025
24,0.9670910346562,5.5336762415247,74330.51813649577,513,1.1139836215692944,0.001549940539730852,-0.0014600120488872054
25,0.96651368438701,5.6307582808497,75625.7922517746,522,1.1164881480896334,0.0015490804239209554,-0.0014579837237454418
