Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.7264754590000001,17.916191180193998,69887.68371547338,524,1.19133926237608,0.0002317943285055439,-0.00022316760188508311
2,0.73955007100147,17.060327450481,66385.44947543835,499,1.1830966064263273,0.0002590591309077547,-0.00024908480535601034
3,0.72218818584069,18.325793474084,71073.63337279588,532,1.1925402490692,0.0002217923347090421,-0.00021391874043238192
4,0.73056471621694,17.629891621131,69391.4548709471,516,1.186424576137404,0.00025186426674631213,-0.0002428494275147691
5,0.74013889624516,16.882320480061,66330.82257051789,498,1.1832299151409655,0.0002606882514237746,-0.00025084865974781136
6,0.7294796618289601,17.591360384788,69872.72821098006,518,1.1832932168648105,0.000243646637308234,-0.00023466305721203383
7,0.73206750566073,17.580631350746,69051.56323244826,513,1.18228024613839,0.0002510171154789224,-0.00024203741168950067
8,0.7336781522468699,17.249565923497,68558.36425988491,510,1.1884198538674728,0.00024055051617384829,-0.00023105869475026944
9,0.7216779745358001,18.221233510553,71310.28827953376,533,1.1945677626922335,0.00021780220114968026,-0.00020986618443817872
10,0.7232024003994201,18.020230465273,71523.82571603036,530,1.1916839354342812,0.0002193551661659981,-0.0002114087224171984
