Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.7275600998126199,17.841452659614998,69599.55319018719,522,1.190506059353033,0.0002342270296644,-0.000225473115709
2,0.7432659159807299,16.816080184961,65284.48692600887,492,1.180936336392004,0.0002751864457211,-0.0002645233539797
3,0.7263672680655799,18.036249945672,69990.05879923231,524,1.1899241067447934,0.0002334420664722,-0.0002249685172021
4,0.73056471641948,17.631833620239,69391.4548709471,516,1.186424576137404,0.0002518355499582,-0.0002428174248354
5,0.7432729550084398,16.660153078537,65509.768416878534,492,1.180961646121049,0.0002702797099344,-0.000260006953043
6,0.73261390567664,17.391400882012,69038.0637578165,512,1.1805098746867169,0.0002556690449313,-0.0002461433580036
7,0.7320675083697,17.583414816408,69051.56323244826,513,1.18228024613839,0.0002509562864165,-0.0002419630891808
8,0.7336781381056701,17.248559164983998,68558.36425988491,510,1.188419853867473,0.0002405748690164,-0.0002310768112058
9,0.7260039771991199,17.937332179137,70034.57275762728,525,1.192468556832695,0.0002304920247963,-0.0002220339224176
10,0.7232024108778399,18.023229469336,71523.82571603036,530,1.1916839354342812,0.0002193239396687,-0.0002113864381146
