Packing_fraction,Samples,M0_avg,M0_var,M1_avg,M1_var,M2_avg,M2_var,M3_avg,M3_var,Tau_avg,Tau_var,Permeability_avg,Permeability_var,Energy_avg,Energy_var
0.050,24,0.35741329848789594,0.21290712758055694,1.0610315916593043,1.876400897610903,38874.904495975934,16202192526.183516,2330.1666666666665,115462300.72222222,1.0286387611108347,2.9911093223502267e-06,0.001862294459621966,5.811555389835411e-06,0.0018189302509669571,1.877880480633014e-05
0.060,25,0.41523933412215003,0.2194483751463072,1.4961229488748318,2.848978407297474,14786.156647905691,8511.87003920818,107.44,0.4064000000000001,1.0340134015865439,3.4240360895053885e-07,0.001727803820542506,3.8107378038064353e-06,0.0016843274960592672,1.4969385195108932e-05
0.070,25,0.411122992027656,0.21511908272163943,1.746057317843876,3.880355895407145,17240.761013662148,9936.651356330647,125.28,0.5216000000000001,1.039910943898867,4.587120098743339e-07,0.0013966632923772546,2.4875612418169828e-06,0.0013586231847703637,9.737455402985926e-06
0.080,25,0.407048448477462,0.21087628889646762,1.9935917715838003,5.058746757472972,19668.507249362156,17514.298607257348,142.92,0.9536,1.0458393943228825,4.816054884229422e-07,0.0011689432889312524,1.7429028653610107e-06,0.0011352527380331166,6.799240105367402e-06
0.090,25,0.40297390824657525,0.20667569636048166,2.2411711860189842,6.393054694335326,22080.982633745043,22376.6230996843,160.48,1.2095999999999998,1.0516859801516896,4.012002955931284e-07,0.000990131609990197,1.249254974663548e-06,0.0009602989543428133,4.863914625659012e-06
0.100,25,0.39904562795917486,0.2026659256128279,2.483194186973532,7.848585925243836,24480.841751062166,21190.978769218593,177.96,1.1583999999999999,1.0575718852775875,4.500942983255472e-07,0.0008496663030325811,9.205687588257691e-07,0.0008229568876785806,3.572780312416969e-06
0.110,25,0.39499197559959043,0.19856933167427357,2.7329523857424802,9.50653802897977,26898.849832299216,22124.41863686816,195.56,1.2064000000000001,1.0636087738539095,6.012783532253709e-07,0.0007275670897716721,6.746841329122763e-07,0.0007038553220478709,2.6131466518967067e-06
0.120,25,0.39098013236597245,0.19455635261919482,2.979847401492472,11.30241525655266,29287.494682435507,33002.10403011439,212.96,1.7184,1.0695978528880494,8.29958164159222e-07,0.0006334576817071745,5.112113699979373e-07,0.0006121603919609013,1.9764147886554063e-06
0.130,25,0.3871772262054336,0.19079030025438753,3.214870928549668,13.15685422377281,31631.006605139068,52720.77004417466,230.04,2.7584000000000004,1.0754499362035392,1.1868060658930509e-06,0.0005567742288459595,3.949974777468927e-07,0.0005377062623615875,1.524946586928976e-06
0.140,25,0.38314448040913646,0.18683652440707704,3.466882597904992,15.299769461251987,34044.30671715744,53571.724415518845,247.64,2.7904,1.0818021314383695,1.0611859839696464e-06,0.0004839948288065782,2.9856991102889357e-07,0.0004669154940514479,1.1499377971494647e-06
0.150,25,0.37919530096080883,0.1830054001332307,3.714353105641948,17.563913052438892,36423.68504522159,96468.8876898687,265.0,5.04,1.0878197448057103,1.5506297026219602e-06,0.0004323815626668309,2.3825434700041827e-07,0.00041690740716331055,9.167658114902376e-07
0.160,25,0.37520461749848166,0.17917367894323366,3.9653412511813757,20.01722408202304,38761.866063571404,90903.17826804412,282.12,4.8256000000000006,1.0937198258501604,1.505152277270072e-06,0.0003857473433741759,1.8961739273413694e-07,0.0003718781514888848,7.294055120613119e-07
0.170,25,0.3713391214803956,0.1755008617246084,4.210345241982868,22.56716095712133,41073.22912887915,94036.92630677739,299.04,4.9984,1.0998608280842632,1.783500899447708e-06,0.00034424923802876025,1.5105010225917855e-07,0.00033175294260952184,5.805256905292812e-07
0.180,25,0.36745266545432204,0.17184646338591983,4.46164947007734,25.340800608024505,43375.05746782601,115244.06873913005,315.88,5.7856000000000005,1.1060829782832229,2.633945968252283e-06,0.0003073223846512599,1.2039739771618814e-07,0.0002959548721638504,4.6201536396645233e-07
0.190,25,0.36365001347913484,0.16830832671166465,4.70164944938036,28.14200194511078,45662.03751756508,145098.50059978667,332.68,7.0976,1.1121683196979142,2.648672641844364e-06,0.00027708850351707345,9.786224924964637e-08,0.0002667861173819432,3.7542153523955555e-07
0.200,25,0.35972189960712847,0.16469163186778693,4.95261187405152,31.22442404487593,47991.34699060532,111850.99340247049,349.8,5.840000000000001,1.1183346347699261,2.5822932300517453e-06,0.0002501834753265197,7.973943627615159e-08,0.0002408977434691891,3.0605886530551487e-07
0.210,25,0.3560656325614617,0.16136080059491895,5.1917391514096805,34.31229616560494,50201.32979609654,114279.94637589164,366.08,6.473599999999999,1.1242164118591385,2.6467783461459775e-06,0.00022841452389667683,6.644375553289898e-08,0.00021996568249057016,2.551600413775206e-07
0.220,25,0.35228415940883806,0.15795174124189487,5.440477557997321,37.67857086789333,52401.32765721462,144953.9403977722,382.36,8.230400000000001,1.1304399168153676,2.6727328485961795e-06,0.00020721719057447386,5.46749714135877e-08,0.0001995495130918312,2.099843853907604e-07
0.230,25,0.34854395728984044,0.15461584191592714,5.683588704069161,41.12103589459272,54596.00988528557,193311.69343548495,398.52,10.569600000000001,1.136554350322926,3.585544149181118e-06,0.00019008100672312963,4.600942337106849e-08,0.00018310004238250712,1.7679542319884373e-07
0.240,25,0.34488789102958484,0.15138942801077063,5.9314830892588395,44.78705848012646,56673.464800161186,222610.39754938174,414.0,12.16,1.1426059634375014,3.649247798619097e-06,0.00017389959074058648,3.851630621415727e-08,0.00016751615416548977,1.4798852687376813e-07
0.250,25,0.34133577354875805,0.1482882783240477,6.17264580769932,48.50761099271399,58766.85653677106,340259.6583799932,429.52,17.6896,1.1488235714300468,4.394722972904719e-06,0.0001598704237218135,3.256613104466917e-08,0.0001540014709681497,1.250851319853636e-07
0.260,25,0.33776319999546084,0.14520096854384273,6.415986074626639,52.40830686626648,60811.59472549144,368847.9721662903,444.84,19.894400000000005,1.1551127770497929,6.014355022672917e-06,0.00014685011196688413,2.7492656311482476e-08,0.00014148587495831717,1.055945003530082e-07
0.270,25,0.3041169052826321,0.1387342714005639,6.03712669868228,54.68673134032799,62833.80930676278,530705.1838308023,460.04,26.6784,1.1613207421666332,6.433464366407354e-06,0.00012436878804803798,2.322946393663884e-08,0.00011985407935401681,7.903342500746384e-08
0.280,25,0.3012146975841004,0.1361005284279542,6.2462862787588405,58.544470832728706,64718.11062160317,711317.0882518069,474.4,33.44,1.1673839018326937,7.526557828932205e-06,0.00011576326935821975,2.0156730122581642e-08,0.00011156453931330695,6.850756952609552e-08
0.290,25,0.2983766404081601,0.133549124617251,6.464240603556919,62.70434113636774,66347.90434203431,769886.7347936933,487.2,37.03999999999999,1.1731869346432644,7.9865351615714e-06,0.00010829354464861942,1.7647492660988312e-08,0.00010438639543391201,5.998271118222265e-08
0.300,25,0.2957069529857732,0.1311714262508009,6.66549468338776,66.671087128599,67922.3357303325,963327.860875091,499.52,45.449600000000004,1.1786093604100563,9.787926253018985e-06,0.00010184661584490979,1.5617874220329708e-08,9.817735459297665e-05,5.3067598771225246e-08
0.310,25,0.29340918752414163,0.12914353435808543,6.85205210835504,70.46868986996896,69254.86111992078,1155889.4979138037,510.4,55.44,1.1835163128040498,1.1338035293054189e-05,9.630297911446905e-05,1.397029393307298e-08,9.28359045315527e-05,4.7456160755177276e-08
0.320,25,0.2915539762820993,0.12751676291915406,7.01914292367076,73.95121063860279,70119.99902155706,1273707.8483943464,518.36,62.39039999999999,1.1876098998600144,1.4402207772275456e-05,9.208731546115916e-05,1.2787036180705741e-08,8.875194579862753e-05,4.3384547360766505e-08
0.330,25,0.29081496161728365,0.1268730994838466,7.1105883161052,75.90255044796147,70184.88922221695,1725562.275879332,521.04,87.5584,1.1891928112785377,1.7683250983476782e-05,9.13189957448324e-05,1.2577197442823899e-08,8.799576576104363e-05,4.265049824763525e-08
0.340,25,0.2919609209190417,0.1278778173743421,7.059101833632321,74.83025526389011,69046.06209421213,2533075.5793670435,514.28,122.0416,1.1869296738267734,2.4056699376862624e-05,9.590279794282442e-05,1.3891388217920977e-08,9.235613221778947e-05,4.7000308819544964e-08
0.350,25,0.29274387274278124,0.12856541659699716,7.007546058866681,73.74409377008952,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848336911995337e-05,1.4663288111368217e-08,9.481759711711735e-05,4.9551908186228594e-08
0.360,25,0.2927438758206328,0.12856541930084167,7.006788240036039,73.7281720004476,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.847947866325707e-05,1.4662148098005479e-08,9.481571934774736e-05,4.9549980013875515e-08
0.370,25,0.29274386028705524,0.12856540538623626,7.00653765906848,73.72361575768153,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.847732152087047e-05,1.466176354854553e-08,9.481290850608609e-05,4.9547260450321894e-08
0.380,25,0.29274385768293243,0.1285654031248854,7.00676508214732,73.72805216593538,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.84820318776442e-05,1.4662998558984894e-08,9.481594188128392e-05,4.955019466472386e-08
0.390,25,0.2927438697663465,0.12856541398191812,7.00729410647364,73.73969266390179,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848274670651266e-05,1.466315229035065e-08,9.481809192679728e-05,4.955241012357932e-08
0.400,25,0.29274387176928524,0.1285654157616167,7.0069207466879995,73.73117398913908,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.8481310757561e-05,1.4662786595507385e-08,9.48181950721889e-05,4.955264088094794e-08
0.410,25,0.29274387287265485,0.12856541674326255,7.0068547601202,73.72965372649406,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848400627995528e-05,1.4663526654382102e-08,9.481895151518187e-05,4.9553382465368666e-08
0.420,25,0.29274386205580766,0.12856540729996346,7.00737397931764,73.74131966039806,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848348863834761e-05,1.4663379324802215e-08,9.481823226109035e-05,4.955260606472331e-08
0.430,25,0.29274387794104323,0.12856542119093395,7.0070796524576,73.73427837921061,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848317335913846e-05,1.4663262328548621e-08,9.481954342431197e-05,4.9553933722750354e-08
0.440,25,0.29274387126070367,0.12856541532202567,7.006983474944921,73.73279944078155,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.84822426995055e-05,1.4663074146678163e-08,9.481756723606764e-05,4.955194975102031e-08
0.450,25,0.29274387199014285,0.1285654159199357,7.007101769335439,73.73518765523094,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848337492329162e-05,1.4663434972546104e-08,9.48171381382641e-05,4.95515495060444e-08
0.460,25,0.29274386607129327,0.12856541071102995,7.006711899791201,73.72722491077647,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848143082898914e-05,1.4662632420971779e-08,9.481710505127036e-05,4.955128475707714e-08
0.470,25,0.2927438587224012,0.12856540398994246,7.00661418547252,73.7252704376408,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848273489658256e-05,1.4663239253253948e-08,9.481692554781875e-05,4.955117555374467e-08
0.480,25,0.29274387272864605,0.1285654166058778,7.0072556309201195,73.73842385338114,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848214123945656e-05,1.4663012984841968e-08,9.481740728149393e-05,4.955173259386655e-08
0.490,25,0.29274387044848327,0.1285654146080562,7.0070508874116015,73.73410381485573,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848642792502738e-05,1.4664206952502776e-08,9.482089254557649e-05,4.955535610911532e-08
0.500,25,0.2927438621700957,0.1285654071925243,7.00747402072264,73.74291047841486,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848594685626183e-05,1.4664033493855154e-08,9.482315517954853e-05,4.9557588785730626e-08
0.510,25,0.29274387602966645,0.1285654195231356,7.007352760273241,73.74051792917363,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.8479016096702e-05,1.4661985992969823e-08,9.481331043877334e-05,4.954739547112113e-08
0.520,25,0.29274387210347447,0.1285654160109785,7.00721517098136,73.73755923542211,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848157024920744e-05,1.4662700206349591e-08,9.481664884132215e-05,4.9550829517753316e-08
0.530,25,0.29274386928711404,0.12856541357921383,7.007356122870321,73.74066560237223,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848344204359762e-05,1.466343630427026e-08,9.481906319844748e-05,4.9553570531580894e-08
0.540,25,0.2927438705235005,0.12856541462848145,7.00724513496176,73.73846598873268,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848552663141745e-05,1.4663928103234592e-08,9.482133714484853e-05,4.955574313872864e-08
0.550,25,0.2927438679509969,0.12856541240089575,7.007299802521841,73.73931769262543,68637.93829703779,2456694.6316592484,511.48,113.52960000000002,1.1858828987225494,2.2328012662642772e-05,9.848830202585688e-05,1.4664653974828204e-08,9.482189134923691e-05,4.9556234103839515e-08
