Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.89955156209855,10.450294778910001,54358.56064223917,522,1.0693479060928408,0.0006724537419919698,-0.0006344178312646379
2,0.9053145558529,9.8663112600949,51141.11206036134,492,1.065553308249977,0.0007597400957935237,-0.0007166067236297433
3,0.89915629048402,10.482712789925,54720.26261334495,524,1.0701510599270938,0.0006732434479995782,-0.0006356763608323704
4,0.90069575369939,10.320877218610999,53840.11723065887,516,1.0691742568756366,0.0007025677699356158,-0.0006640621930440198
5,0.90532533888494,9.842494441575301,51248.516597242204,492,1.0658881572301049,0.0007450227992467674,-0.0007025541308672607
6,0.9014655540583,10.244476035772001,53425.122787853965,512,1.0683324072575984,0.0007171866217403286,-0.0006773953660333828
7,0.90127310396857,10.260000000001,53453.13801092122,513,1.0678434368864764,0.0007018162115592122,-0.0006636565162534824
8,0.90185054962335,10.201066620757999,53274.67744797144,510,1.0685505628886474,0.0006953323685952552,-0.0006550435162974678
9,0.89897972380897,10.507236958184,54723.319770906885,525,1.0702728649050297,0.0006672584659986143,-0.0006301046990142746
10,0.89800145244316,10.600236861031,55210.38607789147,530,1.0704846879501837,0.0006471395010331477,-0.0006106762198633668
11,0.89684690123961,10.720816248697,55982.45866905015,536,1.0718360083935647,0.0006272062667979473,-0.0005914809911887303
12,0.90146555405832,10.24005264996,53526.254063623535,512,1.0684540580548167,0.0006897940402773463,-0.0006510943806460804
13,0.9028127046864202,10.100000000001,52756.29663896164,505,1.068011632737848,0.0007007450341672657,-0.0006609568942058504
14,0.90358254510631,10.020980351831,52261.166473123536,501,1.066713626525443,0.0007359404919354014,-0.0006944094177411807
