Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.96606463417763,5.7075240708325,76091.76595842063,529,1.1179271200316916,0.0014800918106403786,-0.0013929634340818864
2,0.9678608350151201,5.4042335224247005,72171.19196272313,501,1.1123793831590991,0.0016155113114839864,-0.0015203384419389039
3,0.9659363341178101,5.7278403201747,76470.40084188513,531,1.1178874821513565,0.0014824879351299336,-0.0013958966046140825
4,0.96632123429727,5.6631189606247005,75167.07413700242,525,1.1164590329716633,0.0015254327329303654,-0.0014368410776720126
5,0.9675400848655601,5.4590188632684,73081.05884270633,506,1.1139517052422827,0.0015785902367371914,-0.0014849872694885338
6,0.96606463417763,5.706266533658,76505.09670752959,529,1.1163089008552425,0.0015025421143741008,-0.0014151507155119414
7,0.9667702845066399,5.587610707816403,74864.89898239558,518,1.1134390864805406,0.0015275112412321762,-0.0014390596752178939
8,0.96664198444682,5.609184494333,75168.58885977157,520,1.117148701743298,0.001525514233406235,-0.0014346109765442342
9,0.9658721840879001,5.738627213432999,76225.95272911317,532,1.1178293416497078,0.0014694300545029881,-0.0013828873679274218
10,0.96561558396826,5.781774786466402,77442.16226720315,536,1.1195103704489968,0.0014499285094596425,-0.0013640786041201065
11,0.9653589838486301,5.8249223594996,77872.30709383651,540,1.120675145000798,0.0014189409154779598,-0.0013351287404671536
12,0.96664198444682,5.609184494333,74723.47735522401,520,1.1154382710538062,0.0015108423858617168,-0.0014222226739610002
13,0.96741178480576,5.479741775233,74053.9733861397,508,1.1133632290741995,0.0015744719523891793,-0.001481429123507964
14,0.9671551846861101,5.5228893482664,73683.37086037472,512,1.113795070901575,0.0015745823561999536,-0.0014831956203318313
15,0.96670613447674,5.5983976010747005,75116.6049099861,519,1.116207182887363,0.0015295951367890939,-0.001439708153490586
16,0.9672193347160201,5.512102455008,73889.41223639944,511,1.112651913738186,0.0015655165361165328,-0.0014740424928678735
17,0.9664495343571,5.641545174108,75418.26308790178,523,1.116354600968625,0.0015013927485176366,-0.001413090620363481
18,0.96644953435708,5.641545174108,75497.86153543224,523,1.1181688241810412,0.0014885164073791335,-0.001400839388127474
19,0.9673476347758299,5.4905286684914,73685.51902909689,509,1.112804466941502,0.0015729067489158855,-0.0014809770059444481
20,0.9661929342374599,5.6846927471414,76388.29740309581,527,1.1179329654371186,0.001499629371195453,-0.0014110380997990352
21,0.96677028450663,5.587610707816403,74568.22630435212,518,1.1147105566621238,0.0015528485409564505,-0.0014623153056632005
22,0.96683443453657,5.576823814558001,74546.52269170727,517,1.1136821071372467,0.0015566800875064409,-0.0014663909699090974
23,0.9663853843271701,5.6523320673663,75989.21003241287,524,1.116680414000158,0.0014922399688796517,-0.001404238346469508
24,0.9665136843869899,5.6307582808497,75581.22010369433,522,1.1159470034201524,0.0015066202908380758,-0.0014189130819524847
25,0.96625708426736,5.673905853882999,76192.77199555509,526,1.11697594849876,0.0015146331684129785,-0.0014256491683126793
