Sample,M0,M1,M2,M3,Tau,Permeability,Energy
1,0.7811417570522601,13.655931784670999,57169.57227928548,419,1.1445812125705812,0.0003891171767525184,-0.00037492558759149176
2,0.78530580569245,13.504596299222,56200.94246760922,411,1.1423994563678577,0.000399733462200408,-0.0003848772567239514
3,0.78269541210248,13.579971836298,56951.49513520043,416,1.1400427737143506,0.00040333369965338283,-0.00038935332419149613
4,0.78688501498457,13.252012451319999,55745.35715029502,408,1.1403465839210154,0.000398886828286428,-0.000383707035650936
5,0.78530369685486,13.327074184865,56289.170811528944,411,1.141055746606335,0.0003919791799790295,-0.00037740673145306516
6,0.7821694796642901,13.58687405092,57142.34386483093,417,1.142843908542828,0.0003997405411198288,-0.0003850730114358282
7,0.7858282417839301,13.336084462226,56147.95987705,410,1.1408082728223097,0.00040051384593308396,-0.0003856641167594957
8,0.7821708932764498,13.59870789552,57064.923866743164,417,1.1460146694804083,0.0003770805830752627,-0.00036274513244190134
9,0.7842594407864499,13.369795743568,56700.43760367241,413,1.1409965452794926,0.0003963352913858375,-0.0003819456535872484
10,0.78478080842519,13.377494427400999,56469.58249886817,412,1.139795912598581,0.0004044860517550778,-0.0003901125439180475
11,0.7816567251166899,13.69853409546,57081.299785294024,418,1.145367100159708,0.000386283108372405,-0.0003720934603823823
